NAME,LOCATION,YELP_RATING,REVIEW_COUNT,LINK TO YELP PAGE,TYPE OF FOOD,PRICE,ZONE,PICTURE
Sliver Pizzeria ,2468 Telegraph ,4.5,1416,https://www.yelp.com/biz/sliver-pizzeria-berkeley-2,Pizza,$,Southside ,https://hoodline.imgix.net/uploads/story/image/213584/SLIVER_Pizzeria_Photo_1_Enhanced.jpg?auto=format
Berkeley Thai House,2511 Channing,3.5,504,https://www.yelp.com/biz/berkeley-thai-house-berkeley?osq=berkeley+thai+house,Thai,$$,Southside ,https://live.staticflickr.com/2759/4113687242_b882f0b93b_b.jpg
Italian Homemade ,2905 College Ave,4.5,964,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?osq=Italian+Homeade,Pasta,$$,Elmwood,https://media-cdn.tripadvisor.com/media/photo-s/14/41/50/af/the-italian-homemade.jpg
Manpuku,2977 College Ave,4.5,1386,https://www.yelp.com/biz/manpuku-berkeley,Sushi,$,Elmwood,https://cdn.usarestaurants.info/assets/uploads/ff1d609ed2f9d369606acab9f2940025_-united-states-california-alameda-county-berkeley-352568-manpukuhtm.jpg
Sweetgreen,1890 Shattuck,4,424,https://www.yelp.com/biz/sweetgreen-berkeley,Salads,$$,Northside,https://pbs.twimg.com/media/CgaczILXEAArhpp.jpg
Toss,2272 Shattuck,4,1081,https://www.yelp.com/biz/toss-noodle-bar-berkeley,Noodles,$$,Downtown,https://i.pinimg.com/originals/3f/eb/70/3feb70bfa6d230f882a0125e6ad8cad3.jpg
Mezzo,2442 Telegraph,4,585,https://www.yelp.com/biz/mezzo-berkeley-2,Sandwiches and Salads,$$,Southside ,https://www.berkeleyside.com/wp-content/uploads/2017/07/IMG_1039.jpg
Ippudo,2015 Shattuck,3.5,1071,https://www.yelp.com/biz/ippudo-berkeley-berkeley-7,Ramen,$$,Downtown,https://cdn.vox-cdn.com/thumbor/NjkyeDkEWBzVJ0psyPX671JRg0M=/0x0:2000x1333/1200x800/filters:focal(840x507:1160x827)/cdn.vox-cdn.com/uploads/chorus_image/image/57428747/Ippudo_PChang_5368.0.jpg
Berkeley Social Club ,2050 University Ave,4,1302,https://www.yelp.com/biz/berkeley-social-club-berkeley,Breakfast food,$$,Downtown,https://www.berkeleyside.com/wp-content/uploads/2017/01/Berkeley-Social-Club-BI6A5607.jpg
Cheeseboard,1512 Shattuck,4.5,5330,https://www.yelp.com/biz/cheese-board-pizza-berkeley,Pizza,$,Northside,https://brokeassstuart.com/wp-content/pictsnShit/2019/08/CBC_Vanguard-Voyager.jpg
Thai Basil ,2519 Durant,3.5,940,https://www.yelp.com/biz/thai-basil-cuisine-berkeley,Thai,$$,Southside ,https://s3-media0.fl.yelpcdn.com/bphoto/kfZ_wxoVHhg8isPYUOn60Q/348s.jpg
Gypsy's,2519 Durant ,4,1858,https://www.yelp.com/biz/gypsys-trattoria-italiana-berkeley-2,Pasta,$,Southside ,https://lh3.googleusercontent.com/proxy/Mpl8iAcWowKqZWzV38jpFhEyANqAYj07ILtPSo2OjRt9OgT7v-Ux-Kfwk30ESsE-cjqD3Ola3fXeDa5ytWEEvmrKOj9Qrw
La Note,2377 Shattuck,4,3655,https://www.yelp.com/biz/la-note-berkeley-5,Breakfast food,$$,Downtown,https://media-cdn.tripadvisor.com/media/photo-s/0d/62/46/d9/photo0jpg.jpg
Agrodolce,1730 Shattuck,3.5,456,https://www.yelp.com/biz/agrodolce-osteria-berkeley,Italian,$$,Northside,https://www.oaklandmagazine.com/images/cache/cache_8/cache_4/cache_c/Agrodolce-8lede-76926c48.jpeg?ver=1495104140&aspectratio=1.7777777777778
Artichoke's ,2590 Durant,4,637,https://www.yelp.com/biz/artichoke-basilles-pizza-berkeley?osq=Artichoke+Basille%27s+Pizza,Pizza,$,Southside ,"https://images.getbento.com/accounts/aecdc64afa77b37b4b15940057dfef52/media/images/39315Berkeley_2.JPG?w=1800&fit=max&auto=compress,format&h=1800"
La Val's ,1835 Euclid,3.5,433,https://www.yelp.com/biz/la-vals-pizza-berkeley,Pizza,$,Northside,https://cdn.usarestaurants.info/assets/uploads/0f1852b825e205ffe27dd2a0ca987665_-united-states-california-alameda-county-berkeley-753853-la-vals-pizzahtm.jpg
Celia's Mexican Restaurant,1841 Euclid,3.5,230,https://www.yelp.com/biz/celias-mexican-restaurant-berkeley-3,Mexican,$$,Northside,https://cdn.usarestaurants.info/assets/uploads/5b7ce0795a4e7471638ac7b76b446a79_-united-states-california-alameda-county-berkeley-139285-celias-mexican-restauranthtm.jpg
Tacos Sinaloa,2384 Telegraph ,4,423,https://www.yelp.com/biz/tacos-sinaloa-berkeley,Tacos,$,Southside ,https://media-cdn.tripadvisor.com/media/photo-s/13/b4/64/89/inside.jpg
Free House ,2700 Bancroft,3,238,https://www.yelp.com/biz/freehouse-berkeley-2,American,$$,Southside ,https://i0.wp.com/www.dailycal.org/assets/uploads/2016/07/Freehouse_KevinCheung-900x580.jpg
Chengdu,2600 Bancroft,3.5,344,https://www.yelp.com/biz/chengdu-style-restaurant-berkeley,Asian Fusion,$$,Southside ,https://media-cdn.tripadvisor.com/media/photo-s/0b/9f/b8/82/interior-feels-like-you.jpg
Top Dog,2534 Durant ,4,1968,https://www.yelp.com/biz/top-dog-berkeley,Hot Dogs,$,Southside ,https://cdn.vox-cdn.com/thumbor/cfY9605YVoJbiB4i6M0OYYufrJA=/0x0:1000x562/1200x800/filters:focal(420x201:580x361)/cdn.vox-cdn.com/uploads/chorus_image/image/56184197/topdogberkeley.0.jpg
Koja Kitchen ,2395 Telegraph,4,1414,https://www.yelp.com/biz/koja-kitchen-berkeley-2,Asian Fusion,$,Southside ,https://cdn.vox-cdn.com/thumbor/CF9Wyxa-mKz8kqPNZksOyQSaduA=/1x0:678x508/1200x800/filters:focal(1x0:678x508)/cdn.vox-cdn.com/uploads/chorus_image/image/38851450/koja.0.jpg
Thai Noodle 2,2426 Telegraph,3.5,354,https://www.yelp.com/biz/thai-noodle-2-berkeley-berkeley,Thai,$$,Southside ,https://images.jdmagicbox.com/us/comp/ca/berkeley/06/8c40016606/catalogue/thai-noodle-2-ca-berkeley-taluoamcf5.jpg
Chipotle ,2311 Telegraph,3,368,https://www.yelp.com/biz/chipotle-mexican-grill-berkeley-4,Mexican,$,Southside ,https://s3-media0.fl.yelpcdn.com/bphoto/GB_MPgmAdTG80SBWgqcB5w/o.jpg
Pho K&K,2533 Telegraph,3.5,395,https://www.yelp.com/biz/pho-k-and-k-berkeley,Vietnamese,$,Southside ,https://media-cdn.tripadvisor.com/media/photo-s/0d/8c/bc/b3/pho-k-k.jpg
Racha Cafe,2516 Telegraph,3.5,523,https://www.yelp.com/biz/racha-cafe-berkeley,Thai,$,Southside ,https://i0.wp.com/www.dailycal.org/assets/uploads/2015/07/racha.jpg
Bongo Burger,2505 Dwight,4,578,https://www.yelp.com/biz/bongo-burger-berkeley-3,Burgers,$$,Southside ,https://cdn.usarestaurants.info/assets/uploads/28285aabda3df2015b4f99ecddc27abc_-united-states-california-alameda-county-berkeley-bongo-burger-510-548-4100htm.jpg
Seniore's Pizza,2518 Durant,3.5,237,https://www.yelp.com/biz/seniores-pizza-berkeley,Pizza,$,Southside ,https://s3-media0.fl.yelpcdn.com/bphoto/61bTPVDgPtPo7Das8siapA/l.jpg
